cv_id,jd_id,matched_weight,required_weight,match_ratio,missing_required_skills_count,missing_hard_skills,missing_soft_skills,required_hard_skills,required_soft_skills,required_skill_count,soft_skill_match_score,missing_soft_skills_new,missing_soft_skills_count_new,domain,final_score,target
1,1,1,1,1.0,0,[],['adaptability'],['ai'],"['teamwork', 'leadership', 'customer focus', 'adaptability']",5,0.7790415698294669,[],0,Support,0.8453290988806268,1
1,2,3,4,0.75,1,['systems engineering'],"['communication', 'problem solving']","['ai', 'systems engineering', 'financial analysis', 'human resources']","['communication', 'problem solving']",6,0.5763550624517771,['problem solving'],1,IT,0.6979065187355331,1
1,3,1,3,0.3333333333333333,2,"['marketing', 'microsoft office']",[],"['ai', 'marketing', 'microsoft office']","['teamwork', 'leadership', 'growth mindset']",6,0.757210391248789,[],0,Business,0.5452718622910612,0
1,4,1,3,0.3333333333333333,2,"['sales', 'product management']","['problem solving', 'time management', 'work ethic']","['ai', 'sales', 'product management']","['problem solving', 'leadership', 'time management', 'customer focus', 'work ethic', 'growth mindset']",9,0.6983086694687562,['problem solving'],1,Business,0.5158210014010448,0
1,5,5,8,0.625,3,"['networking', 'sales', 'product management']","['problem solving', 'adaptability', 'attention to detail', 'work ethic']","['ai', 'models', 'reporting', 'networking', 'sales', 'product management', 'software tools', 'human resources']","['teamwork', 'problem solving', 'leadership', 'customer focus', 'adaptability', 'attention to detail', 'organizational skills', 'work ethic', 'collaboration', 'growth mindset']",18,0.7103350575148812,"['problem solving', 'attention to detail']",2,Business,0.6676675287574406,1
1,6,5,11,0.4545454545454545,6,"['engineering', 'systems engineering', 'accounting', 'sales', 'product management', 'operations management']",['time management'],"['data analysis', 'ai', 'models', 'engineering', 'systems engineering', 'financial analysis', 'accounting', 'sales', 'product management', 'operations management', 'project management']","['teamwork', 'leadership', 'time management', 'organizational skills', 'analytical thinking', 'collaboration', 'growth mindset']",18,0.6944907386769719,['analytical thinking'],1,Finance,0.5385263039914856,0
1,7,5,8,0.625,3,"['systems engineering', 'operations management', 'microsoft office']","['problem solving', 'time management', 'adaptability', 'attention to detail']","['ai', 'reporting', 'systems engineering', 'financial analysis', 'operations management', 'project management', 'microsoft office', 'human resources']","['teamwork', 'problem solving', 'leadership', 'time management', 'customer focus', 'adaptability', 'attention to detail', 'organizational skills', 'analytical thinking', 'collaboration', 'growth mindset']",19,0.6805717081644583,"['problem solving', 'attention to detail', 'analytical thinking']",3,Engineering,0.6416715124493375,1
1,8,3,7,0.4285714285714285,4,"['networking', 'sales', 'product management', 'microsoft office']","['problem solving', 'time management', 'adaptability', 'attention to detail', 'work ethic']","['ai', 'reporting', 'networking', 'financial analysis', 'sales', 'product management', 'microsoft office']","['teamwork', 'problem solving', 'leadership', 'time management', 'customer focus', 'adaptability', 'attention to detail', 'organizational skills', 'work ethic', 'collaboration', 'growth mindset']",18,0.7134294233892576,"['problem solving', 'attention to detail']",2,Finance,0.5282717267576686,0
1,9,1,3,0.3333333333333333,2,"['systems engineering', 'sales']",[],"['systems engineering', 'financial analysis', 'sales']","['leadership', 'customer focus', 'growth mindset']",6,0.7308778749055804,[],0,Business,0.5321056041194568,0
1,10,4,8,0.5,4,"['engineering', 'networking', 'product management', 'operations management']","['time management', 'adaptability', 'attention to detail', 'work ethic']","['ai', 'reporting', 'engineering', 'networking', 'financial analysis', 'product management', 'operations management', 'project management']","['teamwork', 'leadership', 'time management', 'customer focus', 'adaptability', 'attention to detail', 'organizational skills', 'work ethic', 'collaboration', 'growth mindset']",18,0.7336693515433449,['attention to detail'],1,Administrative,0.6402016109260069,1
1,11,1,3,0.3333333333333333,2,"['networking', 'sales']",['attention to detail'],"['ai', 'networking', 'sales']","['customer focus', 'attention to detail', 'analytical thinking']",6,0.5580442677347187,"['attention to detail', 'analytical thinking']",2,Support,0.49063098741430305,0
1,12,0,0,0.0,0,[],[],[],[],0,0.0,[],0,Finance,0.0,0
