cv_id,jd_id,matched_weight,required_weight,match_ratio,missing_required_skills_count,missing_hard_skills,missing_soft_skills,required_hard_skills,required_soft_skills,required_skill_count,soft_skill_match_score,missing_soft_skills_new,missing_soft_skills_count_new,domain,final_score,target,video_id,feat_95,feat_69,feat_125,feat_20,feat_91,feat_68,feat_117,feat_76,feat_11,feat_88,feat_94,feat_27,feat_82,feat_78,feat_8
1,1,1,1,1.0,0,[],['adaptability'],['ai'],"['teamwork', 'leadership', 'customer focus', 'adaptability']",5,0.7790415698294669,[],0,Support,0.8453290988806268,1,1,-1.3226324319839478,1.4061552286148071,-2.846429347991944,1.2914727926254272,-0.7073663473129272,3.22931170463562,-2.39766526222229,-0.3225471079349518,-1.2558740377426147,0.5403117537498474,2.045106172561645,1.9222787618637085,-1.7558199167251587,-1.3974193334579468,-2.1429667472839355
1,2,3,4,0.75,1,['systems engineering'],"['communication', 'problem solving']","['ai', 'systems engineering', 'financial analysis', 'human resources']","['communication', 'problem solving']",6,0.5763550624517771,['problem solving'],1,IT,0.6979065187355331,1,1,-1.3226324319839478,1.4061552286148071,-2.846429347991944,1.2914727926254272,-0.7073663473129272,3.22931170463562,-2.39766526222229,-0.3225471079349518,-1.2558740377426147,0.5403117537498474,2.045106172561645,1.9222787618637085,-1.7558199167251587,-1.3974193334579468,-2.1429667472839355
1,3,1,3,0.3333333333333333,2,"['marketing', 'microsoft office']",[],"['ai', 'marketing', 'microsoft office']","['teamwork', 'leadership', 'growth mindset']",6,0.757210391248789,[],0,Business,0.5452718622910612,0,1,-1.3226324319839478,1.4061552286148071,-2.846429347991944,1.2914727926254272,-0.7073663473129272,3.22931170463562,-2.39766526222229,-0.3225471079349518,-1.2558740377426147,0.5403117537498474,2.045106172561645,1.9222787618637085,-1.7558199167251587,-1.3974193334579468,-2.1429667472839355
1,4,1,3,0.3333333333333333,2,"['sales', 'product management']","['problem solving', 'time management', 'work ethic']","['ai', 'sales', 'product management']","['problem solving', 'leadership', 'time management', 'customer focus', 'work ethic', 'growth mindset']",9,0.6983086694687562,['problem solving'],1,Business,0.5158210014010448,0,1,-1.3226324319839478,1.4061552286148071,-2.846429347991944,1.2914727926254272,-0.7073663473129272,3.22931170463562,-2.39766526222229,-0.3225471079349518,-1.2558740377426147,0.5403117537498474,2.045106172561645,1.9222787618637085,-1.7558199167251587,-1.3974193334579468,-2.1429667472839355
1,5,5,8,0.625,3,"['networking', 'sales', 'product management']","['problem solving', 'adaptability', 'attention to detail', 'work ethic']","['ai', 'models', 'reporting', 'networking', 'sales', 'product management', 'software tools', 'human resources']","['teamwork', 'problem solving', 'leadership', 'customer focus', 'adaptability', 'attention to detail', 'organizational skills', 'work ethic', 'collaboration', 'growth mindset']",18,0.7103350575148812,"['problem solving', 'attention to detail']",2,Business,0.6676675287574406,1,1,-1.3226324319839478,1.4061552286148071,-2.846429347991944,1.2914727926254272,-0.7073663473129272,3.22931170463562,-2.39766526222229,-0.3225471079349518,-1.2558740377426147,0.5403117537498474,2.045106172561645,1.9222787618637085,-1.7558199167251587,-1.3974193334579468,-2.1429667472839355
1,6,5,11,0.4545454545454545,6,"['engineering', 'systems engineering', 'accounting', 'sales', 'product management', 'operations management']",['time management'],"['data analysis', 'ai', 'models', 'engineering', 'systems engineering', 'financial analysis', 'accounting', 'sales', 'product management', 'operations management', 'project management']","['teamwork', 'leadership', 'time management', 'organizational skills', 'analytical thinking', 'collaboration', 'growth mindset']",18,0.6944907386769719,['analytical thinking'],1,Finance,0.5385263039914856,0,1,-1.3226324319839478,1.4061552286148071,-2.846429347991944,1.2914727926254272,-0.7073663473129272,3.22931170463562,-2.39766526222229,-0.3225471079349518,-1.2558740377426147,0.5403117537498474,2.045106172561645,1.9222787618637085,-1.7558199167251587,-1.3974193334579468,-2.1429667472839355
1,7,5,8,0.625,3,"['systems engineering', 'operations management', 'microsoft office']","['problem solving', 'time management', 'adaptability', 'attention to detail']","['ai', 'reporting', 'systems engineering', 'financial analysis', 'operations management', 'project management', 'microsoft office', 'human resources']","['teamwork', 'problem solving', 'leadership', 'time management', 'customer focus', 'adaptability', 'attention to detail', 'organizational skills', 'analytical thinking', 'collaboration', 'growth mindset']",19,0.6805717081644583,"['problem solving', 'attention to detail', 'analytical thinking']",3,Engineering,0.6416715124493375,1,1,-1.3226324319839478,1.4061552286148071,-2.846429347991944,1.2914727926254272,-0.7073663473129272,3.22931170463562,-2.39766526222229,-0.3225471079349518,-1.2558740377426147,0.5403117537498474,2.045106172561645,1.9222787618637085,-1.7558199167251587,-1.3974193334579468,-2.1429667472839355
1,8,3,7,0.4285714285714285,4,"['networking', 'sales', 'product management', 'microsoft office']","['problem solving', 'time management', 'adaptability', 'attention to detail', 'work ethic']","['ai', 'reporting', 'networking', 'financial analysis', 'sales', 'product management', 'microsoft office']","['teamwork', 'problem solving', 'leadership', 'time management', 'customer focus', 'adaptability', 'attention to detail', 'organizational skills', 'work ethic', 'collaboration', 'growth mindset']",18,0.7134294233892576,"['problem solving', 'attention to detail']",2,Finance,0.5282717267576686,0,1,-1.3226324319839478,1.4061552286148071,-2.846429347991944,1.2914727926254272,-0.7073663473129272,3.22931170463562,-2.39766526222229,-0.3225471079349518,-1.2558740377426147,0.5403117537498474,2.045106172561645,1.9222787618637085,-1.7558199167251587,-1.3974193334579468,-2.1429667472839355
1,9,1,3,0.3333333333333333,2,"['systems engineering', 'sales']",[],"['systems engineering', 'financial analysis', 'sales']","['leadership', 'customer focus', 'growth mindset']",6,0.7308778749055804,[],0,Business,0.5321056041194568,0,1,-1.3226324319839478,1.4061552286148071,-2.846429347991944,1.2914727926254272,-0.7073663473129272,3.22931170463562,-2.39766526222229,-0.3225471079349518,-1.2558740377426147,0.5403117537498474,2.045106172561645,1.9222787618637085,-1.7558199167251587,-1.3974193334579468,-2.1429667472839355
1,10,4,8,0.5,4,"['engineering', 'networking', 'product management', 'operations management']","['time management', 'adaptability', 'attention to detail', 'work ethic']","['ai', 'reporting', 'engineering', 'networking', 'financial analysis', 'product management', 'operations management', 'project management']","['teamwork', 'leadership', 'time management', 'customer focus', 'adaptability', 'attention to detail', 'organizational skills', 'work ethic', 'collaboration', 'growth mindset']",18,0.7336693515433449,['attention to detail'],1,Administrative,0.6402016109260069,1,1,-1.3226324319839478,1.4061552286148071,-2.846429347991944,1.2914727926254272,-0.7073663473129272,3.22931170463562,-2.39766526222229,-0.3225471079349518,-1.2558740377426147,0.5403117537498474,2.045106172561645,1.9222787618637085,-1.7558199167251587,-1.3974193334579468,-2.1429667472839355
